College Name,District,Type,Affiliation
Government Arts and Science College Vadalur,Cuddalore,Government,Directorate of Collegiate Education
Government Arts and Science College Panruti,Cuddalore,Government,Directorate of Collegiate Education
Government Arts College Dharmapuri,Dharmapuri,Government,Directorate of Collegiate Education
Government Arts and Science College for Women Karimangalam,Dharmapuri,Government,Directorate of Collegiate Education
Bharat Ratna Puratchi Thalaivar Dr M.G.R Govt Arts & Science College Palacode,Dharmapuri,Government,Directorate of Collegiate Education
Government Arts and Science College Pennagaram,Dharmapuri,Government,Directorate of Collegiate Education
Government Arts and Science College Harur,Dharmapuri,Government,Directorate of Collegiate Education
Government Arts and Science College Pappireddipatti,Dharmapuri,Government,Directorate of Collegiate Education
Government Arts and Science College Eriyur,Dharmapuri,Government,Directorate of Collegiate Education
M.V.Muthiah Government Arts College for Women Dindigul,Dindigul,Government,Directorate of Collegiate Education
Government Arts College for Women Nilakottai,Dindigul,Government,Directorate of Collegiate Education
Government Arts and Science College for Women Kodaikanal,Dindigul,Government,Directorate of Collegiate Education
Government Arts and Science College Thaneerpanthampatti Eriyodu Vedasandur,Dindigul,Government,Directorate of Collegiate Education
Government Arts and Science College Reddiarchatram,Dindigul,Government,Directorate of Collegiate Education
Government Arts and Science College Oddanchatram,Dindigul,Government,Directorate of Collegiate Education
Government Arts and Science College Natham,Dindigul,Government,Directorate of Collegiate Education
Government Arts and Science College Sathyamangalam,Erode,Government,Directorate of Collegiate Education
Government Arts and Science College Thittamalai,Erode,Government,Directorate of Collegiate Education
Government Arts and Science College Modakkurichi,Erode,Government,Directorate of Collegiate Education
Government Arts and Science College Anthiyur,Erode,Government,Directorate of Collegiate Education
Government Arts and Science College Thalavadi,Erode,Government,Directorate of Collegiate Education
Chikkaiah Government Arts and Science College Erode,Erode,Government,Directorate of Collegiate Education
Government Arts and Science College Rishivandiyam,Kallakurichi,Government,Directorate of Collegiate Education
Government Arts and Science College Kallakurichi,Kallakurichi,Government,Directorate of Collegiate Education
Government Arts and Science College Thirukovilur,Kallakurichi,Government,Directorate of Collegiate Education
Puratchi Thalaivar Dr M.G.R Government Arts and Science College Uthiramerur,Kanchipuram,Government,Directorate of Collegiate Education
Government Arts and Science College Sriperumbudur,Kanchipuram,Government,Directorate of Collegiate Education
Government Arts and Science College Nagercoil,Kanyakumari,Government,Directorate of Collegiate Education
Government Arts and Science College Kanyakumari,Kanyakumari,Government,Directorate of Collegiate Education
Government Arts College Thanthonimalai Karur,Karur,Government,Directorate of Collegiate Education
Dr.Kalaignar Government Arts College Kulithalai,Karur,Government,Directorate of Collegiate Education
Government Arts and Science College Tharagampatti Kadavur,Karur,Government,Directorate of Collegiate Education
